code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
506879,GUJTHEM,X,640.25,647.40,613.90,643.00,4329,27.37,326,
526263,MOLDTEK,B,242.45,247.00,239.80,245.20,11202,27.32,635,
543350,VIJAYA,A,376.40,396.85,375.60,389.25,7005,27.27,411,
532365,DSSL,B,344.05,373.65,344.05,356.25,7565,27.23,743,
539837,RPEL,B,889.00,895.00,873.00,894.95,3062,27.21,244,
531508,EVEREADY,A,315.45,319.05,305.00,306.00,8798,27.19,676,
543259,HOMEFIRST,A,726.75,736.00,726.75,734.85,3708,27.18,481,
500123,ELANTAS,B,5148.95,5180.00,4858.00,5036.10,536,27.17,131,
521018,MARALOVER,B,50.00,51.01,49.50,51.00,54624,27.04,58,
532539,UNOMINDA,A,506.85,514.05,504.20,506.15,5294,27.04,348,
506022,PRAKASH,B,54.30,55.76,54.25,55.24,48667,26.96,742,
507514,SDBL,B,114.60,119.00,114.60,117.85,22967,26.96,594,
533602,LESHAIND,X,3.92,4.64,3.90,4.64,610311,26.94,1299,
539986,COMSYN,B,94.00,97.00,94.00,95.99,28154,26.88,346,
541195,MIDHANI,A,195.35,201.40,195.35,199.15,13450,26.83,464,
524129,VINYLINDIA,B,355.00,366.85,351.80,359.50,7378,26.80,598,
513010,TATASTLLP,A,620.90,630.15,615.65,620.85,4255,26.60,403,
540743,GODREJAGRO,A,436.00,444.50,436.00,439.25,6044,26.57,390,
507815,GILLETTE,A,4676.55,4681.90,4645.65,4660.75,568,26.47,280,
530001,GUJALKALI,A,624.50,637.80,621.30,632.95,4163,26.32,464,
530019,JUBLPHARMA,A,305.50,309.25,303.95,304.40,8569,26.30,617,
543264,NURECA,B,342.25,373.50,338.50,359.00,7273,26.24,815,
534139,SCHNEIDER,A,162.10,166.00,162.10,164.40,15936,26.15,655,
532313,MAHLIFE,A,373.70,378.20,368.40,369.70,7037,26.07,665,
533104,GLOBUSSPR,A,830.00,855.00,825.80,843.80,3110,26.06,361,
542597,MSTC,A,272.00,276.55,271.00,274.20,9487,26.06,217,
540879,APOLLO,B,304.05,312.40,301.55,306.45,8523,26.01,538,
500186,HINDOILEXP,A,138.65,140.85,137.90,138.05,18679,25.99,482,
500012,ANDHRAPET,X,58.60,59.45,57.60,58.80,43987,25.96,351,
508980,FRONTCAP,Z,5.19,5.19,5.19,5.19,500000,25.95,7,
500335,BIRLACORPN,A,856.05,877.85,856.05,859.15,2985,25.87,449,
520008,RICOAUTO,B,71.95,73.12,71.61,72.10,35780,25.85,364,
543349,AMIORG,A,904.90,920.00,904.10,910.00,2823,25.74,371,
543398,LATENTVIEW,A,350.00,350.35,345.80,347.00,7369,25.62,441,
533293,KIRLOSENG,A,314.85,317.30,310.05,310.70,8148,25.55,448,
513446,JSWISPL,B,29.15,29.77,29.15,29.77,86363,25.52,411,
530689,LYKISLTD,XT,63.20,64.88,60.23,63.00,41813,25.46,243,
512379,CRESSAN,T,26.45,27.30,26.40,26.95,94527,25.42,306,
532323,SHIVACEM,X,49.90,51.15,49.20,50.38,50441,25.35,293,
542141,TECHNOE,A,322.25,325.20,316.65,318.45,7918,25.34,457,
512573,AVANTI,A,368.90,370.25,365.70,368.65,6865,25.27,411,
543374,ABSLAMC,A,380.00,382.70,379.55,379.85,6607,25.14,549,
517146,USHAMART,A,176.05,180.60,176.05,178.05,13983,24.96,501,
542484,ARVINDFASN,A,280.95,280.95,274.90,276.35,8971,24.87,350,
532742,PAUSHAKLTD,A,7498.00,7633.00,7430.05,7500.00,329,24.84,170,
540769,NIACL,A,101.45,102.85,100.70,102.45,24420,24.83,557,
532927,ECLERX,A,1400.00,1424.20,1388.70,1411.25,1757,24.81,462,
506532,NITTAGELA,X,666.00,670.00,637.00,654.00,3745,24.77,135,
542920,SUMICHEM,A,442.00,455.95,442.00,453.35,5474,24.74,307,
543308,KIMS,A,1347.65,1350.90,1328.40,1343.45,1836,24.67,276,
500940,FINOLEXIND,A,170.95,170.95,168.30,168.95,14458,24.51,587,
540614,GGENG,B,1.22,1.23,1.16,1.22,1995456,24.46,694,
504605,UNIABEXAL,X,785.35,933.00,785.35,892.55,2757,24.35,184,
524717,TITANBIO,X,212.70,217.00,208.00,210.00,11524,24.31,399,
500187,AGI,A,346.45,351.00,344.30,345.45,6991,24.28,524,
532411,VISESHINFO,B,0.46,0.47,0.45,0.47,5155701,23.97,375,
533146,DLINKINDIA,B,229.00,241.10,228.80,238.35,10192,23.88,500,
532749,ALLCARGO,A,370.00,374.35,365.65,365.90,6436,23.77,349,
524640,ARCHITORG,X,66.10,69.30,66.10,68.55,34658,23.71,143,
535754,ORIENTCEM,A,110.80,114.55,110.80,113.10,20914,23.71,603,
532478,UBL,A,1451.05,1474.10,1450.00,1465.15,1617,23.67,507,
532626,PONDYOXIDE,X,306.35,312.80,302.80,308.80,7641,23.58,248,
532630,GOKEX,A,380.35,398.05,380.35,396.30,5957,23.55,332,
542459,KRANTI,B,73.95,79.80,69.07,77.52,30500,23.50,196,
500039,BANCOINDIA,B,215.50,231.35,215.50,229.05,10398,23.48,552,
532386,CALSOFT,B,15.00,15.00,14.05,14.33,162991,23.33,81,
512463,SHRGLTR,X,7.23,7.55,7.23,7.55,314892,23.31,756,
541402,AFFORDABLE,M,315.20,326.60,315.20,326.50,7200,23.14,9,
500092,CRISIL,A,3395.00,3444.90,3391.15,3416.90,676,23.11,279,
523398,JCHAC,A,1155.00,1210.25,1155.00,1179.95,1931,22.97,689,
534064,AIML,X,25.50,25.50,24.15,25.12,92904,22.95,167,
514316,RAGHUSYN,X,106.20,112.00,100.25,110.65,20843,22.94,80,
500241,KIRLOSBROS,B,370.95,374.60,367.25,370.50,6147,22.85,302,
538817,CAPPIPES,M,777.00,777.00,745.00,745.00,3000,22.85,6,
590031,DENORA,B,855.70,939.50,854.10,923.00,2509,22.82,449,
543325,ROLEXRINGS,A,1873.95,1873.95,1826.00,1853.55,1236,22.80,378,
509567,GOACARBON,B,415.00,458.00,414.95,442.50,5148,22.77,879,
503804,SHRIDINE,X,550.00,550.00,515.80,539.90,4173,22.76,37,
532708,GVKPIL,B,2.67,2.90,2.56,2.82,807370,22.68,404,
533169,MANINFRA,A,76.86,79.73,76.86,78.98,28759,22.67,514,
517506,TTKPRESTIG,A,753.00,776.10,751.35,771.05,2960,22.62,472,
500067,BLUESTARCO,A,1445.00,1449.00,1435.80,1440.65,1564,22.53,241,
532725,SOLARINDS,A,3900.05,3923.10,3870.05,3879.15,578,22.52,235,
540693,SHISHIND,B,221.00,228.00,215.50,225.80,9956,22.37,227,
504966,TINPLATE,A,303.60,312.35,301.40,308.85,7219,22.31,505,
505533,WESTLIFE,A,651.40,661.00,645.30,652.95,3409,22.23,667,
535719,QUEST,X,56.60,60.28,55.25,58.00,39181,22.22,121,
504000,ELPROINTL,B,65.30,66.20,63.65,65.50,34007,22.21,79,
505725,AQFINTECH,X,482.00,493.00,475.00,485.00,4571,22.16,100,
543427,MEDPLUS,A,663.55,672.40,651.20,672.40,3324,22.15,452,
503162,RELCHEMQ,B,180.95,180.95,163.85,165.95,12987,22.03,858,
526853,BI,X,51.60,53.60,50.25,53.60,41993,21.96,209,
515030,ASAHIINDIA,A,478.90,488.25,478.90,487.20,4546,21.93,414,
532888,ASIANTILES,B,39.00,39.76,38.80,39.05,55598,21.80,633,
540393,SMLT,B,167.70,176.00,167.70,172.00,12512,21.80,874,
541778,DEEP,B,96.00,96.00,90.00,94.99,22899,21.66,381,
532372,VIRINCHI,X,36.45,36.45,36.10,36.20,59439,21.59,107,
539177,AIIL,B,182.00,193.00,168.00,187.40,11608,21.53,446,
540136,HPL,B,86.11,87.50,85.45,86.09,24935,21.50,458,
500040,CENTURYTEX,A,599.35,623.10,599.35,617.50,3477,21.44,254,
542867,CSBBANK,A,230.00,230.95,228.25,229.95,9321,21.38,419,
506074,ARSHIYA,B,6.63,6.63,6.63,6.63,322391,21.37,41,
506687,TRANSPEK,X,1595.00,1650.00,1595.00,1630.00,1304,21.23,96,
500214,IONEXCHANG,A,3391.00,3396.55,3341.35,3390.00,628,21.18,156,
543765,EARTH,M,49.30,51.00,49.30,50.55,42000,21.01,14,
543745,SVS,M,9.00,9.50,8.45,9.20,240000,20.96,38,
520073,RACLGEAR,X,860.00,865.00,840.80,840.80,2474,20.95,107,
537707,ETT,X,65.25,66.99,63.20,65.50,32337,20.89,790,
532466,OFSS,A,3169.25,3186.00,3151.45,3166.90,659,20.88,149,
542865,ANUROOP,M,40.00,46.00,39.95,46.00,50000,20.84,10,
530111,RAJPACK,X,51.00,52.00,50.99,51.95,39943,20.74,28,
539939,YASHCHEM,B,73.15,79.00,73.15,76.50,26899,20.67,164,
